Title,Publisher,URL,Date,Description
Has Liz Truss killed off free-market Toryism?,UnHerd,https://unherd.com/newsroom/has-liz-truss-killed-off-free-market-toryism/,02/10/2022,
Keir Starmer’s squandered chance,UnHerd,https://unherd.com/2022/08/keir-starmers-squandered-chance/,17/08/2022,
Is this the end of levelling up?,UnHerd,https://unherd.com/2022/07/is-this-the-end-of-levelling-up/,22/07/2022,
Liverpool is not as exceptional as it thinks,UnHerd,https://unherd.com/newsroom/liverpool-is-not-as-exceptional-as-it-thinks/,17/05/2022,
How Labour broke Liverpool,UnHerd,https://unherd.com/2022/05/how-labour-broke-liverpool/,04/05/2022,
Starmer is winning back voters across the referendum divide,Substack,https://davidjeffery.substack.com/p/starmer-is-winning-back-voters-across,18/04/2022,"Vote Leave, abandon the Tories?"
What might the proposed new boundaries for Liverpool Council mean for the city's political parties?,Substack,https://davidjeffery.substack.com/p/what-might-the-proposed-new-boundaries,08/04/2022,"Plus ça change, plus c'est la même chose kidda"
What Boris Johnson must do next,UnHerd,https://unherd.com/2022/02/what-boris-johnson-must-do-next/,04/02/2022,
Did the Liberal Democrats enjoy a poll boost after winning those by-elections?,Substack,https://davidjeffery.substack.com/p/libdem-byelection-boosts,03/01/2022,"Change point analysis seems to say - yeah, a bit."
The North likes Margaret Thatcher more than you might think,UnHerd,https://unherd.com/newsroom/the-north-likes-margaret-thatcher-more-than-you-might-think/,08/04/2021,
How to pacify the populists,UnHerd,https://unherd.com/newsroom/how-to-pacify-the-populists/,22/02/2021,
Labour’s real problem is Wales,UnHerd,https://unherd.com/2021/02/labours-real-problem-is-wales/,19/02/2021,
Should the Green Party’s poll progress worry Labour?,UnHerd,https://unherd.com/newsroom/should-the-green-partys-poll-progress-worry-labour/,10/02/2021,
The myth of ‘Scouse not English’,UnHerd,https://unherd.com/newsroom/the-myth-of-scouse-not-english/,01/02/2021,
What would Liverpool’s general elections look like under proportional representation?,Medium,https://drdavidjeffery.medium.com/what-would-liverpools-local-elections-look-like-under-proportional-representation-db0927a981ad,31/01/2021,
What would Liverpool’s local elections look like under proportional representation?,Medium,https://drdavidjeffery.medium.com/what-would-liverpools-local-elections-look-like-under-proportional-representation-d4450c1d5253,04/01/2021,A little experiment to explore the Red Liverpool narrative
"Don’t stereotype Red Wall Tories, Boris",UnHerd,https://unherd.com/2020/11/dont-stereotype-red-wall-tories-boris/,19/11/2020,
The Thatcherites no longer run the asylum,UnHerd,https://unherd.com/newsroom/the-thatcherites-no-longer-run-the-asylum/,06/10/2020,
"Tory voters say: spend, spend, spend",UnHerd,https://unherd.com/2020/03/tory-voters-say-no-to-singapore-on-thames/,11/03/2020,
Can the Tories cling on to the Red Wall?,UnHerd,https://unherd.com/2020/01/can-the-tories-cling-on-to-the-red-wall/,06/01/2020,
What we learned from round one of the Conservative leadership contest – in five easy charts,The Conversation,https://theconversation.com/what-we-learned-from-round-one-of-the-conservative-leadership-contest-in-five-easy-charts-118857,14/06/2019,Johnson is the least popular among women MPs and Jeremy Hunt managed to get a vote from the European Research Group.
How do Conservative Party members rank prospective leadership candidates? A small-scale experiment,Medium,https://drdavidjeffery.medium.com/how-would-conservative-party-members-rank-prospective-leadership-candidates-d1a4371670fc,15/05/2019,
How divisions among Leave-backing MPs helped May to win the last leadership election,ConservativeHome,https://conservativehome.com/2017/09/09/david-jeffery-how-divisions-among-leave-backing-mps-helped-may-to-win-the-last-leadership-election/,09/09/2017,"Those who voted against same-sex marriage were more likely to support Leadsom than those who voted for the legislation, whilst the opposite was true for Gove."
It was Thatcher wot lost it – or was it? Conservative electoral decline in Liverpool since 1945,LSE British Politics,https://blogs.lse.ac.uk/politicsandpolicy/conservative-electoral-decline-in-liverpool-since-1945/,05/05/2017,"Contrary to popular narratives that see Margaret Thatcher as the cause of Conservative decline in Liverpool, David Jeffery explains that various other factors were in play, long before Thatcher came to power. Those factors, combined with the rise of the Liberals in the 1970s, displaced the Conservatives as the main local opposition to Labour."
Corbynism might not actually end – even if Labour loses the election,The Conversation,https://theconversation.com/corbynism-might-not-actually-end-even-if-labour-loses-the-election-76724,26/04/2017,A crushing defeat in June could paradoxically make it easier to elect another leader from the far left.
The north remembers: why Conservatives still get a frosty reception in key regions,The Conversation,https://theconversation.com/the-north-remembers-why-conservatives-still-get-a-frosty-reception-in-key-regions-66348,04/10/2016,"Despite efforts to appeal to the minds and the wallets of those in the north, the Tories have yet to win hearts."
"No, Thatcher didn’t cause the Conservative decline in Liverpool",ConservativeHome,https://conservativehome.com/2015/07/20/david-jeffrey-no-thatcher-didnt-cause-the-conservative-decline-in-liverpool/,20/07/2015,"It was the rise of the Liberals, and the decline of the city’s Protestant tradition, that did for the Party."
